Year,row_count,T_total,FD_raw_total,FD_no_inventory_total,inventory_excluded_column_count,inventory_excluded_total,X_current_total,X_corrected_total,M_current_total,M_corrected_total,non_positive_X_corrected_count,negative_X_corrected_count,near_zero_X_corrected_count,negative_Y_no_inventory_count,negative_FD_raw_entries,negative_FD_no_inventory_entries,notes,tiny_negative_clipped_count,meaningful_negative_nan_count,missing_EI_count,negative_EI_count,unmatched_merged_labels_count
1995,4915,26364453889.85523,28614537988.1865,28216445285.58919,190,398092702.5973123,54978991878.04173,54580899175.44443,26364453889.855232,26364453889.855232,1,0,0,0,655,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
1996,4915,27945030323.233124,29443109757.645287,29018102722.33604,190,425007035.30924386,57388140080.8784,56963133045.56917,27945030323.233124,27945030323.233124,1,0,0,0,663,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,4,0
1997,4915,28109302045.476215,29354090059.6544,28883378554.335068,190,470711505.31932944,57463392105.130615,56992680599.811295,28109302045.47621,28109302045.47621,1,0,0,0,664,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,4,0
1998,4915,27476215403.58731,30277531384.30065,29738306884.967308,190,539224499.3333527,57753746787.887955,57214522288.55461,27476215403.587307,27476215403.587307,1,0,0,0,666,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
1999,4915,28601469149.82926,31705675941.337204,31132372175.61004,190,573303765.7271622,60307145091.16647,59733841325.4393,28601469149.82926,28601469149.82926,1,0,0,0,664,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
2000,4915,30236947262.319183,32662832021.662106,32088309287.182743,190,574522734.4793626,62899779283.98131,62325256549.50197,30236947262.31919,30236947262.31919,1,0,0,0,655,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
2001,4915,29896672705.548225,32425364332.093933,31837603389.425606,190,587760942.6683263,62322037037.64215,61734276094.97382,29896672705.54823,29896672705.54823,1,0,0,0,667,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
2002,4915,31397285518.38855,33387316265.49772,32777770549.0825,190,609545716.4152263,64784601783.88627,64175056067.47104,31397285518.38855,31397285518.38855,1,0,0,0,664,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
2003,4915,35817571388.01901,37075265988.94137,36359134379.270676,190,716131609.6706887,72892837376.96037,72176705767.28969,35817571388.01901,35817571388.01901,1,0,0,0,668,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
2004,4915,41336993288.047104,41949273043.54218,41058627935.861336,190,890645107.6808475,83286266331.5893,82395621223.90845,41336993288.047104,41336993288.047104,1,0,0,0,663,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,4,0
2005,4915,46378187142.361206,45780239223.531906,44814523507.349014,190,965715716.182892,92158426365.89311,91192710649.7102,46378187142.361206,46378187142.361206,1,0,0,0,662,0,X_corrected=T.sum(axis=1)+FD_no_inventory.sum(axis=1); M_corrected=T.sum(axis=0).,0,0,0,3,0
