Year,old_X_total,corrected_X_total,old_M_total,corrected_M_total,old_D_total,corrected_D_total,old_mean_input_intensity,corrected_mean_input_intensity,old_negative_X_count,corrected_negative_X_count,old_non_positive_X_count,corrected_non_positive_X_count,correlation_old_X_corrected_X,mean_absolute_percentage_difference_X,median_absolute_percentage_difference_X,top_absolute_difference_node,top_relative_difference_node
1995,54979533007.42996,54580899175.44443,26364453889.855232,26364453889.855232,54978991878.04173,54580899175.44443,0.5763755222488199,0.7446399829283886,0,0,1,1,0.9612011159371628,0.37054638702719056,0.2404337637000474,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
1996,57388784293.47103,56963133045.56917,27945030323.233124,27945030323.233124,57388140080.87841,56963133045.56917,0.58323407899188,0.7609446036031703,0,0,1,1,0.9616465976055447,0.4040959496855044,0.24139589553312865,USA | USA | Industries | Finacial Intermediation and Business Activities,LTU | LTU | Industries | Transport Equipment
1997,57463951390.01317,56992680599.811295,28109302045.47621,28109302045.47621,57463392105.130615,56992680599.811295,0.5772560247109758,0.7238091920870787,0,0,1,1,0.9572529590373843,0.34158907791596893,0.24128026503127115,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
1998,57754264705.180046,57214522288.55461,27476215403.587307,27476215403.587307,57753746787.887955,57214522288.55461,0.5704373794379615,0.6899557939946308,0,0,1,1,0.9574680522472857,0.36392629484949346,0.23862231581596016,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
1999,60307667846.04138,59733841325.4393,28601469149.82926,28601469149.82926,60307145091.16645,59733841325.4393,0.5690547793149248,0.690847394791905,0,0,1,1,0.9575914495574647,0.34800438575659237,0.23994138247484453,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
2000,62900232772.648125,62325256549.50197,30236947262.31919,30236947262.31919,62899779283.98133,62325256549.50197,0.5733063186254423,0.7202144521007257,0,0,1,1,0.9579964942355892,0.3166369801956555,0.23755436846624217,USA | USA | Industries | Finacial Intermediation and Business Activities,CHN | CHN | Commodities | Recycling
2001,62322542886.79123,61734276094.97382,29896672705.54823,29896672705.54823,62322037037.64215,61734276094.97382,0.5718637186637516,0.676388392231756,0,0,1,1,0.9576556233394727,0.35150100091622893,0.239136416716569,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
2002,64785219682.206,64175056067.47104,31397285518.38855,31397285518.38855,64784601783.88626,64175056067.47104,0.5758043169009989,0.6891378900249325,0,0,1,1,0.9570954687973885,0.34466565111570907,0.2396169539059396,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
2003,72893606734.53804,72176705767.28969,35817571388.01901,35817571388.01901,72892837376.96037,72176705767.28969,0.5720764912351549,0.7219290029991275,0,0,1,1,0.9554262635257998,0.3529628133067534,0.23988784108421007,USA | USA | Industries | Finacial Intermediation and Business Activities,CHN | CHN | Commodities | Recycling
2004,83287252182.21884,82395621223.90845,41336993288.047104,41336993288.047104,83286266331.58931,82395621223.90845,0.5705856926972085,0.7507173251539703,0,0,1,1,0.9549464653514345,0.3582633590548699,0.2399377803744883,USA | USA | Industries | Finacial Intermediation and Business Activities,CHN | CHN | Commodities | Recycling
2005,92159519691.20213,91192710649.7102,46378187142.361206,46378187142.361206,92158426365.89311,91192710649.7102,0.5753416766577764,0.760093193878086,0,0,1,1,0.9552317576714574,0.37208911469251593,0.23426195217796456,USA | USA | Industries | Finacial Intermediation and Business Activities,KWT | KWT | Industries | Mining and Quarrying
