model_name,term,coefficient,expected_sign,actual_sign,matches_expected_sign,notes
economic_only,log_EI,0.0306398502926199,positive,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
economic_only,Sector_Agriculture,-0.0133943321610373,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Electrical and Machinery,0.00355381220492573,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Food & Beverages,0.005752323793854022,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Metal Products,-0.008023755016514434,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Mining and Quarrying,-0.01906367091241022,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Other Manufacturing,0.0011362303348904483,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Others,-0.008539777749244495,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,"Sector_Petroleum, Chemical and Non-Metallic Mineral Products",-0.006211713284435418,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Re-export & Re-import,0.04402501543437452,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Textiles and Wearing Apparel,7.670286307253633e-05,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Transport Equipment,0.00853773109976399,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Sector_Wood and Paper,-0.00784856660753557,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_1995,-0.010458632160398005,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_1996,-0.056158820758702405,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_1997,-0.0711023520710593,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_1998,-0.054676366503510605,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_1999,-0.01213719620151435,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2000,-0.08604038531155822,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2001,-0.0076306728525641935,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2002,0.045156012165591286,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2003,0.07469085461202846,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2004,0.07599385821491318,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2005,0.049488840380062224,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2006,0.10671841239995877,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2007,0.09169192662158807,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2008,-0.1457742130444178,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2009,0.03422429972040667,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2010,0.05818151532484069,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2011,-0.0948427851214629,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
economic_only,Year_2012,0.002675704585696376,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,log_EI,0.03102349429354909,positive,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
green_transition,green_capability,0.004500978587188035,positive,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
green_transition,g_network,-0.0007014178518326551,positive,negative,False,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
green_transition,general_complexity,0.013389638802126772,positive_or_moderating,positive,True,standardized_numeric_coefficient; Ridge alpha=1.0; sector/year fixed effects included
green_transition,Sector_Agriculture,0.0012476943898458723,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Electrical and Machinery,-0.01688395580751791,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Food & Beverages,0.01453725950422469,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Metal Products,-0.0203859438267673,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Mining and Quarrying,-0.01062421954559822,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Other Manufacturing,-0.006223273248986091,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Others,-0.0017691866339792192,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,"Sector_Petroleum, Chemical and Non-Metallic Mineral Products",-0.011387383591320096,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Re-export & Re-import,0.052107731340428745,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Textiles and Wearing Apparel,0.008696238519710488,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Transport Equipment,-0.0019041814587668255,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Sector_Wood and Paper,-0.007410779641499313,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_1995,-0.010882089743470562,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_1996,-0.056609094949072576,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_1997,-0.07174937489853606,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_1998,-0.05504151376137831,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_1999,-0.012003458016653243,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2000,-0.08618707393599576,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2001,-0.007996196782363144,not_applicable,negative,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2002,0.04474708707091026,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2003,0.07444562165514873,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
green_transition,Year_2004,0.0758296103416431,not_applicable,positive,,fixed_effect_coefficient; Ridge alpha=1.0
