Year,node_count,valid_node_ratio_count,invalid_node_ratio_count,missing_node_ratio_count,zero_M_positive_X_count,median_observed_input_intensity,p05_observed_input_intensity,p95_observed_input_intensity,p99_observed_input_intensity,max_observed_input_intensity,median_effective_input_intensity,share_a_above_1,share_a_above_2,share_a_above_5,node_ratio_used_share,country_category_fallback_share,country_ecosystem_fallback_share,sector_fallback_share,global_fallback_share,missing_feasibility_share
1995,4915,4913,1,1,1,0.5606132068920504,0.21632953531901206,0.9936994708194893,1.7805283986048819,485.2549088783282,0.5607266367399437,0.048219735503560526,0.007324516785350966,0.0024415055951169887,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
1996,4915,4913,1,1,1,0.5632818104517903,0.22234539040878373,1.0482213668410407,2.1598086258447844,507.69024457182644,0.5632864793626025,0.06144455747711088,0.01363173957273652,0.0024415055951169887,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
1997,4915,4913,1,1,1,0.5652515282819572,0.2349495349838353,1.149872686645097,1.7864160966462255,326.847878346017,0.5653088258459757,0.07731434384537131,0.007121057985757884,0.002644964394710071,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
1998,4915,4913,1,1,1,0.5537870538343623,0.2341455572237017,1.0063775301727278,1.5135759102605102,310.8923736427069,0.553791289825912,0.05188199389623601,0.006103763987792472,0.002644964394710071,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
1999,4915,4913,1,1,1,0.5502963903626917,0.23237784369286502,1.0066901878171333,1.5481182742171522,301.87475291562424,0.5503037726117707,0.05188199389623601,0.006917599186164801,0.002644964394710071,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2000,4915,4913,1,1,1,0.5617806428689958,0.24524931166505337,1.0632663972557848,2.9663049861769437,301.02965049954554,0.5619104552037024,0.0659206510681587,0.01627670396744659,0.0024415055951169887,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2001,4915,4913,1,1,1,0.5437308538459517,0.23102283876399568,0.9681750764948842,1.541606161420482,296.5071648823933,0.543806631348741,0.04191251271617497,0.0067141403865717195,0.0022380467955239063,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2002,4915,4913,1,1,1,0.5507114818666685,0.2311390699551563,1.0206993980059291,1.6102956314246677,303.2863919820199,0.5507590585140486,0.054933875890132246,0.007324516785350966,0.0022380467955239063,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2003,4915,4913,1,1,1,0.5487638700469142,0.22685136408236156,0.9413173668604876,1.7248123178114607,529.3226319415915,0.5487725267208464,0.03296032553407935,0.007324516785350966,0.0022380467955239063,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
2004,4915,4913,1,1,1,0.5437671515884036,0.22530442155737448,0.9261591806391309,1.7030826179709293,668.3521316017477,0.5437806628109773,0.029298067141403865,0.006917599186164801,0.0024415055951169887,0.9995930824008138,0.0004069175991861648,0.0,0.0,0.0,0.0
