Year,country_sector,Country,Sector,X_observed,EI,emissions_observed
1995,GRC | GRC | Industries | Mining and Quarrying,GRC,Mining and Quarrying,1959070.4775027276,-0.0017553329828325036,
1995,MUS | MUS | Industries | Fishing,MUS,Fishing,70912.39128217284,-0.0002717074985717381,
1995,MUS | MUS | Industries | Mining and Quarrying,MUS,Mining and Quarrying,100492.00639806526,-6.399259841917837e-05,
1996,GRC | GRC | Industries | Mining and Quarrying,GRC,Mining and Quarrying,2079635.840253896,-0.001800530356233895,
1996,MUS | MUS | Industries | Fishing,MUS,Fishing,77929.40736132901,-0.0002180648607475343,
1996,MUS | MUS | Industries | Mining and Quarrying,MUS,Mining and Quarrying,112175.7925779559,-5.915886403350302e-05,
1996,UZB | UZB | Commodities | Electrical and Machinery,UZB,Electrical and Machinery,1123373.6953813992,-0.07179156884379032,
1997,GRC | GRC | Industries | Mining and Quarrying,GRC,Mining and Quarrying,2059996.4192127695,-0.0018364433164798667,
1997,MUS | MUS | Industries | Fishing,MUS,Fishing,77807.7314367541,-0.0006936486337311571,
1997,MUS | MUS | Industries | Mining and Quarrying,MUS,Mining and Quarrying,106148.58588782986,-6.892836550249482e-05,
1997,UZB | UZB | Commodities | Electrical and Machinery,UZB,Electrical and Machinery,1167076.8899035999,-0.5381813498992976,
1998,GRC | GRC | Industries | Mining and Quarrying,GRC,Mining and Quarrying,2073877.1819003783,-0.001984753086993679,
1998,MUS | MUS | Industries | Fishing,MUS,Fishing,59912.773757040064,-0.00016709169287527312,
1998,MUS | MUS | Industries | Mining and Quarrying,MUS,Mining and Quarrying,102014.10007314522,-8.121025933070305e-05,
1999,GRC | GRC | Industries | Mining and Quarrying,GRC,Mining and Quarrying,2142774.0578643517,-0.0017828681857235418,
1999,MUS | MUS | Industries | Fishing,MUS,Fishing,62200.83274996669,-0.00019833807153778034,
1999,MUS | MUS | Industries | Mining and Quarrying,MUS,Mining and Quarrying,104844.2403241768,-8.987311067661716e-05,
2000,GRC | GRC | Industries | Mining and Quarrying,GRC,Mining and Quarrying,2020012.9755569256,-0.00226260660697095,
2000,MUS | MUS | Industries | Fishing,MUS,Fishing,65112.656880384886,-0.00041493353464441395,
2000,MUS | MUS | Industries | Mining and Quarrying,MUS,Mining and Quarrying,108998.04612728415,-0.00012201629936862377,
