"Year","mode","input_panel_orientation","coefficient_mode","validation_reference","capacity_source","converged","rounds_used","tolerance","max_rounds","observed_output_total","realized_output_total","desired_output_total","relative_error_total","correlation_realized_vs_observed","mean_absolute_percentage_error","median_absolute_percentage_error","final_residual_share","total_capacity_penalty","mean_capacity_stress_over_rounds","mean_share_capacity_binding","mean_share_capacity_missing"
"1995","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","148","1e-08","400","54580899175.44443","47699772006.5316","47701745663.70802","0.27176663473531076","0.9545035812678456","0.32288790400603845","0.26607678161500625","9.867320307302608e-09","1973657.1764297974","0.9999727423805493","7.510224146053378e-05","0.0"
"1996","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","195","1e-08","400","56963133045.56917","49863771472.24646","49865877999.0809","0.2725397430102206","0.9541771944554265","0.3309692599423692","0.26988472145505543","9.73556347408623e-09","2106526.8344442956","0.9999800250765531","5.397886519816472e-05","0.0"
"1997","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","56","1e-08","400","56992680599.811295","50174351230.22448","50180137472.38553","0.27467503997866427","0.9496268882050614","0.33117027249597747","0.27649594303739633","9.356540810962391e-09","5786242.161058103","0.9999339298197205","0.00018561153647088217","0.0"
"1998","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","70","1e-08","400","57214522288.55461","50019699567.64645","50021892322.17789","0.2735495354571872","0.9500442698587782","0.30581734011016565","0.2623644907452845","9.132340733716712e-09","2192754.5314386813","0.9999525642963841","0.00012608714340979753","0.0"
"1999","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","33","1e-08","400","59733841325.4393","52126535122.74469","52128608947.2293","0.2758058704993649","0.9502205248582585","0.30761345887046343","0.2616797421251974","8.957470424803892e-09","2073824.4846169308","0.9999005200959337","0.00028723595236670454","0.0"
"2000","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","34","1e-08","400","62325256549.50197","54239302475.617905","54241001791.81482","0.2770747464248279","0.9502308613557078","0.3160344697570964","0.2653229106972817","9.078345372602805e-09","1699316.196918937","0.9999124663395074","0.0002441505595116989","0.0"
"2001","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","35","1e-08","400","61734276094.97382","53609045057.844536","53611089446.12657","0.2791762084657174","0.9499630387237683","0.31238865182465525","0.26730251048364717","8.408439539711662e-09","2044388.2820392046","0.999917983499286","0.00023736859952526283","0.0"
"2002","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","34","1e-08","400","64175056067.47104","55976566043.53594","55978825316.85367","0.27788030405398967","0.9491603791078759","0.31554406087211134","0.26952969995838005","7.78427234988879e-09","2259273.3177310666","0.9999134132896627","0.00026740299375090825","0.0"
"2003","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","33","1e-08","400","72176705767.28969","62519141654.68625","62521833070.71105","0.2799282818706829","0.9463750667222951","0.31951971840995763","0.27285801848788555","9.674464272813745e-09","2691416.024798958","0.9999044101648643","0.0002573155406618395","0.0"
"2004","transpose_row_output_fd_without_inventory","transpose_row_fd_without_inventory","transpose_row_output_fd_without_inventory","input_panel:transpose_row_fd_without_inventory:X_observed","input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet","True","36","1e-08","400","82395621223.90845","71154588186.36432","71157963837.22841","0.28250936124717596","0.9457654495044062","0.32557845541754743","0.2750616175250873","8.945231529413149e-09","3375650.864088079","0.9999012832148219","0.0002529487778724808","0.0"
